scenario_name,income_source_1,income_source_2,use_conservative_income,conservative_factor,housing_commitment,auto_loan_commitment,personal_loan_commitment,credit_card_commitment,other_credit_commitments,existing_monthly_commitments,loan_amount,loan_maturity_years,euribor_tenor,simulated_euribor_percentage,simulated_spread_percentage,stress_buffer_percentage,acquisition_value,valuation_value,configured_dsti_threshold_percentage,configured_ltv_threshold_percentage,current_age,configured_maximum_age_at_end,scenario_note
Base educational simulation,1500,1000,false,0.90,0,150,100,50,0,300,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Standard fictional scenario used to demonstrate DSTI LTV maturity commitments analysis and interest rate stress.
Prudent income simulation,1500,1000,true,0.90,0,150,100,50,0,300,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Uses a conservative income assumption to demonstrate affordability sensitivity.
Higher commitments simulation,1500,1000,false,0.90,250,200,100,50,0,600,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how higher existing monthly commitments may affect DSTI and repayment capacity.
Higher interest stress simulation,1500,1000,false,0.90,0,150,100,50,0,300,180000,30,6M,3.00,0.90,2.50,220000,215000,40,90,35,75,Shows how a larger stress buffer may affect stressed instalment and stressed DSTI.
Lower income simulation,1200,800,false,0.90,0,150,100,50,0,300,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how lower income may increase affordability pressure.
Higher LTV simulation,1500,1000,false,0.90,0,150,100,50,0,300,205000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how a higher loan amount may affect LTV and estimated instalments.
Longer maturity simulation,1500,1000,false,0.90,0,150,100,50,0,300,180000,40,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how a longer maturity may reduce instalments but increase maturity risk awareness.
Older borrower simulation,1500,1000,false,0.90,0,150,100,50,0,300,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,55,75,Shows how age at end of loan can trigger maturity-related review notes.
Negative EURIBOR simulation,1500,1000,false,0.90,0,150,100,50,0,300,180000,30,6M,-0.50,1.00,1.50,220000,215000,40,90,35,75,Shows how a negative simulated EURIBOR assumption is handled as an educational data quality note.
Zero stress buffer simulation,1500,1000,false,0.90,0,150,100,50,0,300,180000,30,6M,3.00,0.90,0.00,220000,215000,40,90,35,75,Shows how the simulation behaves when no interest rate stress buffer is applied.
High housing commitment simulation,1500,1000,false,0.90,700,100,50,25,25,900,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how a large existing housing commitment may place pressure on DSTI and remaining repayment capacity.
Credit card commitment simulation,1500,1000,false,0.90,0,100,50,250,0,400,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how a higher credit card commitment can be separated for better input explainability.
No existing commitments simulation,1500,1000,false,0.90,0,0,0,0,0,0,180000,30,6M,3.00,0.90,1.50,220000,215000,40,90,35,75,Shows how the calculator behaves when no existing monthly credit commitments are entered.
